Region;Kod Teryt;Kod BDR;Wybory prezydenckie - A. Duda (II tura);Duda;Komorowski;Suma;Region;Kod Teryt;Kod BDR;Wybory prezydenckie - B. Komorowski (II tura);Jednostka;Okres;
Boles³awiec-miasto;0201011;5020101011;41,6462;41,65;58,35;100;Boles³awiec-miasto;0201011;5020101011;58,3538; %;2015;ok
Boles³awiec-wieœ;0201022;5020101022;49,5544;49,55;50,45;100;Boles³awiec-wieœ;0201022;5020101022;50,4456; %;2015;ok
Gromadka;0201032;5020101032;57,8568;57,86;42,14;100;Gromadka;0201032;5020101032;42,1432; %;2015;ok
Nowogrodziec;0201043;5020101043;55,7789;55,78;44,22;100;Nowogrodziec;0201043;5020101043;44,2211; %;2015;ok
Osiecznica;0201052;5020101052;43,817;43,82;56,18;100;Osiecznica;0201052;5020101052;56,183; %;2015;ok
Warta Boles³awiecka;0201062;5020101062;51,1242;51,12;48,88;100;Warta Boles³awiecka;0201062;5020101062;48,8758; %;2015;ok
Bielawa;0202011;5020302011;43,6519;43,65;56,35;100;Bielawa;0202011;5020302011;56,3481; %;2015;ok
Dzier¿oniów-miasto;0202021;5020302021;41,5208;41,52;58,48;100;Dzier¿oniów-miasto;0202021;5020302021;58,4792; %;2015;ok
Pieszyce;0202031;5020302031;48,2504;48,25;51,75;100;Pieszyce;0202031;5020302031;51,7496; %;2015;ok
Pi³awa Górna;0202041;5020302041;49,4601;49,46;50,54;100;Pi³awa Górna;0202041;5020302041;50,5399; %;2015;ok
Dzier¿oniów-wieœ;0202052;5020302052;50,0676;50,07;49,93;100;Dzier¿oniów-wieœ;0202052;5020302052;49,9324; %;2015;ok
£agiewniki;0202062;5020302062;55,8398;55,84;44,16;100;£agiewniki;0202062;5020302062;44,1602; %;2015;ok
Niemcza;0202073;5020302073;46,2449;46,24;53,76;100;Niemcza;0202073;5020302073;53,7551; %;2015;ok
G³ogów-miasto;0203011;5020203011;51,4727;51,47;48,53;100;G³ogów-miasto;0203011;5020203011;48,5273; %;2015;ok
G³ogów-wieœ;0203022;5020203022;56,86;56,86;43,14;100;G³ogów-wieœ;0203022;5020203022;43,14; %;2015;ok
Jerzmanowa;0203032;5020203032;56,2347;56,23;43,77;100;Jerzmanowa;0203032;5020203032;43,7653; %;2015;ok
Kotla;0203042;5020203042;57,7664;57,77;42,23;100;Kotla;0203042;5020203042;42,2336; %;2015;ok
Pêc³aw;0203052;5020203052;65,1914;65,19;34,81;100;Pêc³aw;0203052;5020203052;34,8086; %;2015;ok
¯ukowice;0203062;5020203062;55,4609;55,46;44,54;100;¯ukowice;0203062;5020203062;44,5391; %;2015;ok
Góra;0204013;5020204013;47,8696;47,87;52,13;100;Góra;0204013;5020204013;52,1304; %;2015;ok
Jemielno;0204022;5020204022;55,0978;55,1;44,9;100;Jemielno;0204022;5020204022;44,9022; %;2015;ok
Niechlów;0204032;5020204032;54,9383;54,94;45,06;100;Niechlów;0204032;5020204032;45,0617; %;2015;ok
W¹sosz;0204043;5020204043;51,1266;51,13;48,87;100;W¹sosz;0204043;5020204043;48,8734; %;2015;ok
Jawor;0205011;5020105011;50,6195;50,62;49,38;100;Jawor;0205011;5020105011;49,3805; %;2015;ok
Bolków;0205023;5020105023;44,6335;44,63;55,37;100;Bolków;0205023;5020105023;55,3665; %;2015;ok
Mêcinka;0205032;5020105032;57,0594;57,06;42,94;100;Mêcinka;0205032;5020105032;42,9406; %;2015;ok
Mœciwojów;0205042;5020105042;48,1935;48,19;51,81;100;Mœciwojów;0205042;5020105042;51,8065; %;2015;ok
Paszowice;0205052;5020105052;50,7776;50,78;49,22;100;Paszowice;0205052;5020105052;49,2224; %;2015;ok
W¹dro¿e Wielkie;0205062;5020105062;47,9833;47,98;52,02;100;W¹dro¿e Wielkie;0205062;5020105062;52,0167; %;2015;ok
Karpacz;0206011;5020106011;29,9058;29,91;70,09;100;Karpacz;0206011;5020106011;70,0942; %;2015;ok
Kowary;0206021;5020106021;35,3846;35,38;64,62;100;Kowary;0206021;5020106021;64,6154; %;2015;ok
Piechowice;0206031;5020106031;40,2369;40,24;59,76;100;Piechowice;0206031;5020106031;59,7631; %;2015;ok
Szklarska Porêba;0206041;5020106041;35,3737;35,37;64,63;100;Szklarska Porêba;0206041;5020106041;64,6263; %;2015;ok
Janowice Wielkie;0206052;5020106052;38,0615;38,06;61,94;100;Janowice Wielkie;0206052;5020106052;61,9385; %;2015;ok
Je¿ów Sudecki;0206062;5020106062;34,8579;34,86;65,14;100;Je¿ów Sudecki;0206062;5020106062;65,1421; %;2015;ok
Mys³akowice;0206072;5020106072;38,8342;38,83;61,17;100;Mys³akowice;0206072;5020106072;61,1658; %;2015;ok
Podgórzyn;0206082;5020106082;32,5316;32,53;67,47;100;Podgórzyn;0206082;5020106082;67,4684; %;2015;ok
Stara Kamienica;0206092;5020106092;41,7368;41,74;58,26;100;Stara Kamienica;0206092;5020106092;58,2632; %;2015;ok
Kamienna Góra-miasto;0207011;5020107011;42,6486;42,65;57,35;100;Kamienna Góra-miasto;0207011;5020107011;57,3514; %;2015;ok
Kamienna Góra-wieœ;0207022;5020107022;47,1247;47,12;52,88;100;Kamienna Góra-wieœ;0207022;5020107022;52,8753; %;2015;ok
Lubawka;0207033;5020107033;41,9276;41,93;58,07;100;Lubawka;0207033;5020107033;58,0724; %;2015;ok
Marciszów;0207042;5020107042;46,0241;46,02;53,98;100;Marciszów;0207042;5020107042;53,9759; %;2015;ok
Duszniki-Zdrój;0208011;5020308011;38,9792;38,98;61,02;100;Duszniki-Zdrój;0208011;5020308011;61,0208; %;2015;ok
K³odzko-miasto;0208021;5020308021;41,5921;41,59;58,41;100;K³odzko-miasto;0208021;5020308021;58,4079; %;2015;ok
Kudowa-Zdrój;0208031;5020308031;43,3493;43,35;56,65;100;Kudowa-Zdrój;0208031;5020308031;56,6507; %;2015;ok
Nowa Ruda-miasto;0208041;5020308041;40,5565;40,56;59,44;100;Nowa Ruda-miasto;0208041;5020308041;59,4435; %;2015;ok
Polanica-Zdrój;0208051;5020308051;43,9017;43,9;56,1;100;Polanica-Zdrój;0208051;5020308051;56,0983; %;2015;ok
Bystrzyca K³odzka;0208063;5020308063;50,8973;50,9;49,1;100;Bystrzyca K³odzka;0208063;5020308063;49,1027; %;2015;ok
K³odzko-wieœ;0208072;5020308072;52,8171;52,82;47,18;100;K³odzko-wieœ;0208072;5020308072;47,1829; %;2015;ok
L¹dek-Zdrój;0208083;5020308083;45,3418;45,34;54,66;100;L¹dek-Zdrój;0208083;5020308083;54,6582; %;2015;ok
Lewin K³odzki;0208092;5020308092;53,7271;53,73;46,27;100;Lewin K³odzki;0208092;5020308092;46,2729; %;2015;ok
Miêdzylesie;0208103;5020308103;44,6522;44,65;55,35;100;Miêdzylesie;0208103;5020308103;55,3478; %;2015;ok
Nowa Ruda-wieœ;0208112;5020308112;44,121;44,12;55,88;100;Nowa Ruda-wieœ;0208112;5020308112;55,879; %;2015;ok
Radków;0208123;5020308123;49,4693;49,47;50,53;100;Radków;0208123;5020308123;50,5307; %;2015;ok
Stronie Œl¹skie;0208133;5020308133;38,9554;38,96;61,04;100;Stronie Œl¹skie;0208133;5020308133;61,0446; %;2015;ok
Szczytna;0208143;5020308143;43,27;43,27;56,73;100;Szczytna;0208143;5020308143;56,73; %;2015;ok
Chojnów-miasto;0209011;5020209011;48,8876;48,89;51,11;100;Chojnów-miasto;0209011;5020209011;51,1124; %;2015;ok
Chojnów-wieœ;0209022;5020209022;55,9051;55,91;44,09;100;Chojnów-wieœ;0209022;5020209022;44,0949; %;2015;ok
Krotoszyce;0209032;5020209032;60,373;60,37;39,63;100;Krotoszyce;0209032;5020209032;39,627; %;2015;ok
Kunice;0209042;5020209042;47,3087;47,31;52,69;100;Kunice;0209042;5020209042;52,6913; %;2015;ok
Legnickie Pole;0209052;5020209052;53,9467;53,95;46,05;100;Legnickie Pole;0209052;5020209052;46,0533; %;2015;ok
Mi³kowice;0209062;5020209062;49,1845;49,18;50,82;100;Mi³kowice;0209062;5020209062;50,8155; %;2015;ok
Prochowice;0209073;5020209073;50,6671;50,67;49,33;100;Prochowice;0209073;5020209073;49,3329; %;2015;ok
Ruja;0209082;5020209082;53,6216;53,62;46,38;100;Ruja;0209082;5020209082;46,3784; %;2015;ok
Lubañ-miasto;0210011;5020110011;40,7357;40,74;59,26;100;Lubañ-miasto;0210011;5020110011;59,2643; %;2015;ok
Œwieradów-Zdrój;0210021;5020110021;41,5765;41,58;58,42;100;Œwieradów-Zdrój;0210021;5020110021;58,4235; %;2015;ok
Leœna;0210033;5020110033;42,6535;42,65;57,35;100;Leœna;0210033;5020110033;57,3465; %;2015;ok
Lubañ-wieœ;0210042;5020110042;45,4699;45,47;54,53;100;Lubañ-wieœ;0210042;5020110042;54,5301; %;2015;ok
Olszyna;0210052;5020110052;42,9584;42,96;57,04;100;Olszyna;0210052;5020110052;57,0416; %;2015;ok
Platerówka;0210062;5020110062;56,9841;56,98;43,02;100;Platerówka;0210062;5020110062;43,0159; %;2015;ok
Siekierczyn;0210072;5020110072;46,6804;46,68;53,32;100;Siekierczyn;0210072;5020110072;53,3196; %;2015;ok
Lubin-miasto;0211011;5020211011;59,5851;59,59;40,41;100;Lubin-miasto;0211011;5020211011;40,4149; %;2015;ok
Lubin-wieœ;0211022;5020211022;60,7264;60,73;39,27;100;Lubin-wieœ;0211022;5020211022;39,2736; %;2015;ok
Rudna;0211032;5020211032;67,4217;67,42;32,58;100;Rudna;0211032;5020211032;32,5783; %;2015;ok
Œcinawa;0211043;5020211043;68,4223;68,42;31,58;100;Œcinawa;0211043;5020211043;31,5777; %;2015;ok
Gryfów Œl¹ski;0212013;5020112013;43,277;43,28;56,72;100;Gryfów Œl¹ski;0212013;5020112013;56,723; %;2015;ok
Lubomierz;0212023;5020112023;44,6086;44,61;55,39;100;Lubomierz;0212023;5020112023;55,3914; %;2015;ok
Lwówek Œl¹ski;0212033;5020112033;44,5028;44,5;55,5;100;Lwówek Œl¹ski;0212033;5020112033;55,4972; %;2015;ok
Mirsk;0212043;5020112043;48,7845;48,78;51,22;100;Mirsk;0212043;5020112043;51,2155; %;2015;ok
